blueprint,room,area_sqft,flooring_sqft,paint_gallons,drywall_sheets
5042,Room 1,1918.43,2110.27,4.0,44
5042,Room 2,4905.7,5396.27,6.4,71
5042,Room 3,295.76,325.34,1.57,18
5042,Room 4,1209.07,1329.98,3.18,35
5042,Room 5,1869.02,2055.92,3.95,44
5042,Room 6,1257.9,1383.69,3.24,36
5042,Room 7,710.27,781.3,2.44,27
5042,Room 8,510.63,561.69,2.07,23
5042,Room 9,61.23,67.35,0.72,8
5042,Room 10,3377.12,3714.83,5.31,59
5042,Room 11,2562.22,2818.44,4.63,51
5042,TOTAL,18677.35,20545.08,37.51,416
